Audi;A3 Sportback e-tron;1.5;13;;
BMW;740e iPerformance;2.5;7.4;;
BMW;X5 xDrive40e;3.3;9;;
Cadillac;CT6 Plug-in Hybrid;7.8;18.4;;
Chevrolet;Volt;5.7;18.4;;
Ford;Tourneo Custom;3.3;13.6;;
Hyundai;Ioniq Plug-in;1.1;8.9;;
Hyundai;Tucson;1.1;13.8;;
Kia;Optima PlugIn;1.6;7.8;;
Kia;Niro PlugIn;1.3;7.1;;
Mercedes-Benz;E-Class PlugIn;2.1;9;;
Mercedes-Benz;C-Class PlugIn;2.1;6.2;;
Mercedes-Benz;GLA 250 e PHEV;1.8;15.6;;
Mercedes-Benz;GLE 500e;3.7;8.8;;
Mercedes-Benz;CLA 250e ;1.5;15.6;;
Mitsubishi;Outlander PHEV;2;11;;
Porsche;Panamera S E-Hybride;3.1;9.4;;
Range Rover;Sport P400e;2.8;12.4;;
Renault;Captur e-Tech PlugIn;1.4;7.5;;
Renault;Megane e-Tech PlugIn;1.3;9.8;;
Toyota;Prius Plug-in Hybrid;1.1;8.8;;
Volkswagen;Golf GTE;1.5;8.7;;
Volkswagen;Passat GTE;1.6;13;;
Volkswagen;Arteon;8.5;13;;
Volvo;V60 D6 Plug in;1.8;11.6;;
Volvo;Xc90 T8;2.1;9.2;;
Opel;Grandland X plugIn;2.2;13.2;;
